,date,store,item,sales
0,2018-01-01,1,1,14.70207602611066
1,2018-01-02,1,1,18.16651904475183
2,2018-01-03,1,1,18.16651904475183
3,2018-01-04,1,1,9.465175394730586
4,2018-01-05,1,1,9.465175394730586
5,2018-01-06,1,1,11.767882867386312
6,2018-01-07,1,1,13.701659884491278
7,2018-01-08,1,1,13.701659884491278
8,2018-01-09,1,1,16.64950307886393
9,2018-01-10,1,1,18.32865458598915
10,2018-01-11,1,1,8.419019734346072
11,2018-01-12,1,1,10.41841580482265
12,2018-01-13,1,1,12.463609744281712
13,2018-01-14,1,1,12.463609744281712
14,2018-01-15,1,1,13.988988071364375
15,2018-01-16,1,1,17.174608666015608
16,2018-01-17,1,1,17.174608666015608
17,2018-01-18,1,1,9.92874118642208
18,2018-01-19,1,1,10.690632465707878
19,2018-01-20,1,1,10.593670576061449
20,2018-01-21,1,1,13.282937421153527
21,2018-01-22,1,1,13.282937421153527
22,2018-01-23,1,1,15.849331251337027
23,2018-01-24,1,1,14.289586534059538
24,2018-01-25,1,1,14.289586534059538
25,2018-01-26,1,1,11.287070312530837
26,2018-01-27,1,1,11.62538444051367
27,2018-01-28,1,1,13.196024979211778
28,2018-01-29,1,1,13.196024979211778
29,2018-01-30,1,1,15.56462647600162
30,2018-01-31,1,1,15.56462647600162
31,2018-02-01,1,1,13.060247019859595
32,2018-02-02,1,1,13.560663720527572
33,2018-02-03,1,1,13.560663720527572
34,2018-02-04,1,1,16.336579936558664
35,2018-02-05,1,1,16.336579936558664
36,2018-02-06,1,1,18.383881352588965
37,2018-02-07,1,1,16.39999415007877
38,2018-02-08,1,1,16.39999415007877
39,2018-02-09,1,1,13.220244793047833
40,2018-02-10,1,1,14.662519622462057
41,2018-02-11,1,1,15.70618928689742
42,2018-02-12,1,1,15.70618928689742
43,2018-02-13,1,1,17.78678077966778
44,2018-02-14,1,1,16.55852867594119
45,2018-02-15,1,1,16.55852867594119
46,2018-02-16,1,1,12.497839402507395
47,2018-02-17,1,1,14.651662902940444
48,2018-02-18,1,1,15.638817088924888
49,2018-02-19,1,1,15.638817088924888
50,2018-02-20,1,1,18.181222078381857
51,2018-02-21,1,1,19.18151388588352
52,2018-02-22,1,1,12.827899050233682
53,2018-02-23,1,1,12.827899050233682
54,2018-02-24,1,1,14.81659836684598
55,2018-02-25,1,1,14.81659836684598
56,2018-02-26,1,1,15.949262723686687
57,2018-02-27,1,1,16.63186045520142
58,2018-02-28,1,1,16.44411261368942
59,2018-03-01,1,1,22.982520527141432
60,2018-03-02,1,1,16.783955714718957
61,2018-03-03,1,1,18.40009790996259
62,2018-03-04,1,1,18.40009790996259
63,2018-03-05,1,1,20.422164692891
64,2018-03-06,1,1,23.01580811095264
65,2018-03-07,1,1,24.7899905927084
66,2018-03-08,1,1,16.086617822560314
67,2018-03-09,1,1,16.92530395972763
68,2018-03-10,1,1,16.92530395972763
69,2018-03-11,1,1,18.86219430736086
70,2018-03-12,1,1,18.86219430736086
71,2018-03-13,1,1,21.22207176178341
72,2018-03-14,1,1,20.384646522399247
73,2018-03-15,1,1,20.384646522399247
74,2018-03-16,1,1,15.781539822656057
75,2018-03-17,1,1,16.06484689091524
76,2018-03-18,1,1,17.897996327337346
77,2018-03-19,1,1,19.808143738812333
78,2018-03-20,1,1,22.055123359213045
79,2018-03-21,1,1,23.96957217129137
80,2018-03-22,1,1,14.827676588053784
81,2018-03-23,1,1,14.827676588053784
82,2018-03-24,1,1,16.325342489902376
83,2018-03-25,1,1,17.865906067054702
84,2018-03-26,1,1,17.865906067054702
85,2018-03-27,1,1,20.24357950663976
86,2018-03-28,1,1,19.78702355077273
87,2018-03-29,1,1,19.78702355077273
88,2018-03-30,1,1,14.972163315988986
89,2018-03-31,1,1,16.485203057045744
900,2018-01-01,1,2,42.70785200059778
901,2018-01-02,1,2,46.172295019238945
902,2018-01-03,1,2,46.172295019238945
903,2018-01-04,1,2,37.47095136921771
904,2018-01-05,1,2,37.47095136921771
905,2018-01-06,1,2,39.773658841873456
906,2018-01-07,1,2,41.70743585897843
907,2018-01-08,1,2,41.70743585897843
908,2018-01-09,1,2,44.65527905335106
909,2018-01-10,1,2,46.334430560476285
910,2018-01-11,1,2,36.42479570883322
911,2018-01-12,1,2,38.42419177930981
912,2018-01-13,1,2,40.46938571876886
913,2018-01-14,1,2,40.46938571876886
914,2018-01-15,1,2,41.99476404585153
915,2018-01-16,1,2,45.18038464050276
916,2018-01-17,1,2,45.18038464050276
917,2018-01-18,1,2,37.93451716090924
918,2018-01-19,1,2,38.69640844019504
919,2018-01-20,1,2,38.599446550548606
920,2018-01-21,1,2,41.28871339564069
921,2018-01-22,1,2,41.28871339564069
922,2018-01-23,1,2,43.85510722582418
923,2018-01-24,1,2,42.2953625085467
924,2018-01-25,1,2,42.2953625085467
925,2018-01-26,1,2,39.29284628701801
926,2018-01-27,1,2,39.63116041500084
927,2018-01-28,1,2,41.20180095369894
928,2018-01-29,1,2,41.20180095369894
929,2018-01-30,1,2,44.20044001749548
930,2018-01-31,1,2,44.20044001749548
931,2018-02-01,1,2,42.538268416554125
932,2018-02-02,1,2,43.03868511722211
933,2018-02-03,1,2,43.03868511722211
934,2018-02-04,1,2,45.81460133325318
935,2018-02-05,1,2,45.81460133325318
936,2018-02-06,1,2,47.90169172575454
937,2018-02-07,1,2,45.91780452324434
938,2018-02-08,1,2,45.91780452324434
939,2018-02-09,1,2,42.7380551662134
940,2018-02-10,1,2,44.156800507243155
941,2018-02-11,1,2,45.200470171678525
942,2018-02-12,1,2,45.200470171678525
943,2018-02-13,1,2,47.53529340592485
944,2018-02-14,1,2,46.307041302198265
945,2018-02-15,1,2,46.307041302198265
946,2018-02-16,1,2,42.23708577027524
947,2018-02-17,1,2,44.309133866000955
948,2018-02-18,1,2,45.29628805198541
949,2018-02-19,1,2,45.29628805198541
950,2018-02-20,1,2,48.107260190088404
951,2018-02-21,1,2,49.10755199759004
952,2018-02-22,1,2,42.75393716194023
953,2018-02-23,1,2,42.75393716194023
954,2018-02-24,1,2,44.554034634304706
955,2018-02-25,1,2,44.554034634304706
956,2018-02-26,1,2,45.68669899114542
957,2018-02-27,1,2,46.59257244911238
958,2018-02-28,1,2,46.4048246076004
959,2018-03-01,1,2,57.260450764784636
960,2018-03-02,1,2,48.163251573606864
961,2018-03-03,1,2,51.33606794194981
962,2018-03-04,1,2,51.33606794194981
963,2018-03-05,1,2,53.35813472487815
964,2018-03-06,1,2,55.951778142939794
965,2018-03-07,1,2,57.72596062469556
966,2018-03-08,1,2,49.02258785454744
967,2018-03-09,1,2,49.86127399171478
968,2018-03-10,1,2,49.86127399171478
969,2018-03-11,1,2,52.5816227079831
970,2018-03-12,1,2,52.5816227079831
971,2018-03-13,1,2,54.9415001624057
972,2018-03-14,1,2,54.10407492302154
973,2018-03-15,1,2,54.10407492302154
974,2018-03-16,1,2,50.84178543538704
975,2018-03-17,1,2,51.12509250364623
976,2018-03-18,1,2,52.95824194006835
977,2018-03-19,1,2,54.868389351543364
978,2018-03-20,1,2,57.11536897194405
979,2018-03-21,1,2,59.02981778402238
980,2018-03-22,1,2,49.887922200784814
981,2018-03-23,1,2,49.887922200784814
982,2018-03-24,1,2,51.385588102633406
983,2018-03-25,1,2,52.92615167978574
984,2018-03-26,1,2,52.92615167978574
985,2018-03-27,1,2,55.30382511937079
986,2018-03-28,1,2,54.84726916350376
987,2018-03-29,1,2,54.84726916350376
988,2018-03-30,1,2,50.03240892872
989,2018-03-31,1,2,51.545448669776775
1800,2018-01-01,1,3,25.546314807076826
1801,2018-01-02,1,3,29.010757825718002
1802,2018-01-03,1,3,29.010757825718002
1803,2018-01-04,1,3,20.309414175696748
1804,2018-01-05,1,3,20.309414175696748
1805,2018-01-06,1,3,22.612121648352478
1806,2018-01-07,1,3,24.545898665457454
1807,2018-01-08,1,3,24.545898665457454
1808,2018-01-09,1,3,27.493741859830106
1809,2018-01-10,1,3,29.172893366955332
1810,2018-01-11,1,3,19.263258515312245
1811,2018-01-12,1,3,21.26265458578882
1812,2018-01-13,1,3,23.307848525247877
1813,2018-01-14,1,3,23.307848525247877
1814,2018-01-15,1,3,24.833226852330544
1815,2018-01-16,1,3,28.01884744698179
1816,2018-01-17,1,3,28.01884744698179
1817,2018-01-18,1,3,20.772979967388252
1818,2018-01-19,1,3,21.53487124667406
1819,2018-01-20,1,3,21.437909357027632
1820,2018-01-21,1,3,24.12717620211971
1821,2018-01-22,1,3,24.12717620211971
1822,2018-01-23,1,3,26.693570032303214
